Price,close,year,mms15
Ticker,PETR4.SA,,
Date,,,
2008-01-02,9.395345687866211,2008,9.395345687866211
2008-01-03,9.244156837463379,2008,9.319751262664795
2008-01-04,8.790589332580566,2008,9.143363952636719
2008-01-07,8.532487869262695,2008,8.990644931793213
2008-01-08,9.001173973083496,2008,8.99275074005127
2008-01-09,9.170722961425781,2008,9.022412776947021
2008-01-10,9.082167625427246,2008,9.030949183872767
2008-01-11,8.807866096496582,2008,9.003063797950745
2008-01-14,8.790589332580566,2008,8.979455524020725
2008-01-15,8.403581619262695,2008,8.921868133544923
2008-01-16,8.0870361328125,2008,8.84597431529652
2008-01-17,7.6805195808410645,2008,8.748853087425232
2008-01-18,7.783505439758301,2008,8.674595576066237
2008-01-21,7.205702781677246,2008,8.56967466218131
2008-01-22,7.909254550933838,2008,8.525646654764811
2008-01-23,7.773745059967041,2008,8.4175399462382
2008-01-24,8.319022178649902,2008,8.355864302317302
2008-01-28,8.76673698425293,2008,8.354274145762126
2008-01-29,8.759150505065918,2008,8.369384988149006
2008-01-30,8.957531929016113,2008,8.366475518544515
2008-01-31,8.71578598022461,2008,8.336146386464437
2008-02-01,8.85671329498291,2008,8.321116097768147
2008-02-06,8.542340278625488,2008,8.303414376576741
2008-02-07,8.80793285369873,2008,8.304570611317953
2008-02-08,8.8675537109375,2008,8.335502084096273
2008-02-11,9.016071319580078,2008,8.39743776321411
2008-02-12,9.034500122070312,2008,8.487703132629395
2008-02-13,9.166755676269531,2008,8.579919815063477
2008-02-14,9.055094718933105,2008,8.703212610880534
2008-02-15,8.975960731506348,2008,8.774326356252034
2008-02-18,9.209033012390137,2008,8.870012219746908
2008-02-19,9.24697494506836,2008,8.931875737508138
2008-02-20,9.268654823303223,2008,8.965336926778157
2008-02-21,9.107131004333496,2008,8.988535626729329
2008-02-22,9.138569831848145,2008,9.000604820251464
2008-02-25,9.133150100708008,2008,9.028429094950358
2008-02-26,9.149409294128418,2008,9.047942161560059
2008-02-27,9.290334701538086,2008,9.097808456420898
2008-02-28,9.339120864868164,2008,9.133220990498861
2008-02-29,8.82961368560791,2008,9.130691655476888
2008-03-03,8.76999282836914,2008,9.114286422729492
2008-03-04,8.526082038879395,2008,9.080391883850098
2008-03-05,8.737466812133789,2008,9.051772626241048
2008-03-06,8.565106391906738,2008,9.019106737772624
2008-03-07,8.472960472106934,2008,8.985573387145996
2008-03-10,8.314690589904785,2008,8.925950558980306
2008-03-11,8.640990257263184,2008,8.885551579793294
2008-03-12,8.598710060119629,2008,8.840888595581054
2008-03-13,8.485969543457031,2008,8.799477831522625
2008-03-14,8.319022178649902,2008,8.744841321309407
2008-03-17,8.319022178649902,2008,8.690566126505534
2008-03-18,8.124979972839355,2008,8.622270838419597
2008-03-19,7.523331165313721,2008,8.504470602671306
2008-03-20,7.523331165313721,2008,8.383417956034343
2008-03-24,7.58837366104126,2008,8.300668621063233
2008-03-25,7.989471912384033,2008,8.248633893330892
2008-03-26,8.119560241699219,2008,8.221532440185547
2008-03-27,7.925515174865723,2008,8.167402331034342
2008-03-28,7.871309757232666,2008,8.12114922205607
2008-03-31,8.020910263061523,2008,8.091012541453043
2008-04-01,8.212784767150879,2008,8.084218819936117
2008-04-02,8.430682182312012,2008,8.070198281606038
2008-04-03,8.531498908996582,2008,8.065717538197836
2008-04-04,8.564021110534668,2008,8.070920976003011
2008-04-07,8.531982421875,2008,8.08511832555135
2008-04-08,8.693922996520996,2008,8.110111713409424
2008-04-09,8.699357986450195,2008,8.14840358098348
2008-04-10,8.730880737304688,2008,8.228906885782878
2008-04-11,8.53741455078125,2008,8.296512444814047
2008-04-14,9.01781177520752,2008,8.391808319091798
2008-04-15,9.123239517211914,2008,8.467392826080323
2008-04-16,9.06454849243164,2008,8.530392042795818
2008-04-17,9.249317169189453,2008,8.618645509084066
2008-04-18,9.27105712890625,2008,8.711962000528972
2008-04-22,9.368873596191406,2008,8.80182622273763
2008-04-23,9.240623474121094,2008,8.870348803202312
2008-04-24,9.042811393737793,2008,8.911157417297364
2008-04-25,9.162368774414062,2008,8.953215408325196
2008-04-28,9.258012771606445,2008,8.999481519063314
2008-04-29,8.890647888183594,2008,9.023392550150554
2008-04-30,9.173237800598145,2008,9.055346870422364
2008-05-02,9.347138404846191,2008,9.098532231648763
2008-05-05,9.531905174255371,2008,9.151933860778808
2008-05-06,9.781888008117676,2008,9.23489875793457
2008-05-07,9.749279975891113,2008,9.28366330464681
2008-05-08,9.781888008117676,2008,9.327573204040528
2008-05-09,9.92752742767334,2008,9.38510513305664
2008-05-12,9.944916725158691,2008,9.431478436787923
2008-05-13,9.944916725158691,2008,9.476402409871419
2008-05-14,10.064477920532227,2008,9.522776031494141
2008-05-15,10.240549087524414,2008,9.589437739054363
2008-05-16,10.466617584228516,2008,9.684358151753743
2008-05-19,10.86876106262207,2008,9.798117637634277
2008-05-20,11.229607582092285,2008,9.929557291666667
2008-05-21,11.414374351501465,2008,10.097805722554524
2008-05-23,10.990492820739746,2008,10.218956057230631
2008-05-26,11.210041999816895,2008,10.343149630228679
2008-05-27,10.847025871276855,2008,10.430824343363444
2008-05-28,11.083963394165039,2008,10.517629369099934
2008-05-29,11.083963394165039,2008,10.60660826365153
2008-05-30,10.651388168334961,2008,10.66457494099935
2008-06-02,10.651388168334961,2008,10.712832323710124
2008-06-03,10.823115348815918,2008,10.771378898620606
2008-06-04,10.314459800720215,2008,10.796015103658041
2008-06-05,9.842755317687988,2008,10.781233596801759
2008-06-06,10.338367462158203,2008,10.787754821777344
2008-06-09,10.320978164672852,2008,10.7780455271403
2008-06-10,9.999260902404785,2008,10.72007884979248
2008-06-11,9.868839263916016,2008,10.629360961914063
2008-06-12,9.821013450622559,2008,10.52313690185547
2008-06-13,9.977526664733887,2008,10.455605824788412
2008-06-16,9.955784797668457,2008,10.371988677978516
2008-06-17,10.053606986999512,2008,10.31909408569336
2008-06-18,9.868839263916016,2008,10.238085810343424
2008-06-19,9.54277515411377,2008,10.13533992767334
2008-06-20,9.375394821166992,2008,10.05027370452881
2008-06-23,9.54059886932373,2008,9.976221084594727
2008-06-24,9.514514923095703,2008,9.888981056213378
2008-06-25,9.77101993560791,2008,9.852751731872559
2008-06-26,9.760149955749512,2008,9.847244707743327
2008-06-27,9.847100257873535,2008,9.814493560791016
2008-06-30,10.044910430908203,2008,9.796089045206706
